council_area,health_board,pct_school_attend,alcohol,pct_income_deprived,pct_employment_deprived,mortality,drugs,pct_depress,pct_low_bw,hosp_emerg,pct_no_heating,pct_overcrowded,simd_2016_quintile,urban
Aberdeen City,Grampian,73,108,5,4,91,67,14,6,98,2,11.37,4,1
Aberdeen City,Grampian,85,50,5,5,96,53,10,4,95,5,12.52,4,1
Aberdeen City,Grampian,74,186,9,7,87,191,18,3,115,1,14.79,3,1
Aberdeen City,Grampian,86,212,9,10,72,207,20,19,105,1,9.61,3,1
Aberdeen City,Grampian,86,220,9,8,89,69,18,0,88,0,8.04,3,1
Aberdeen City,Grampian,76,64,4,3,75,181,15,9,85,1,7.16,4,1
Aberdeen City,Grampian,77,35,7,5,70,197,16,0,76,2,13.82,4,1
Aberdeen City,Grampian,77,133,15,8,110,101,20,3,119,1,12.53,3,1
Aberdeen City,Grampian,77,42,10,8,101,108,20,10,97,0,16.87,3,1
Aberdeen City,Grampian,90,53,3,3,58,0,17,8,74,1,2.45,5,1
Aberdeen City,Grampian,91,39,3,2,67,28,13,0,70,0,8.39,5,1
Aberdeen City,Grampian,78,95,7,7,90,63,22,2,104,2,5.72,4,1
Aberdeen City,Grampian,85,112,9,7,147,0,22,15,86,2,7.64,3,1
Aberdeen City,Grampian,84,121,7,6,102,120,20,5,102,1,10.61,3,1
Aberdeen City,Grampian,85,40,8,6,113,0,18,15,113,1,8.29,3,1
Aberdeen City,Grampian,89,45,2,2,59,140,15,7,73,0,4.38,5,1
Aberdeen City,Grampian,97,15,3,2,63,0,15,0,61,1,3.36,5,1
Aberdeen City,Grampian,83,13,6,3,114,61,11,3,80,2,8.07,4,1
Aberdeen City,Grampian,86,14,2,1,195,0,12,15,55,0,9.73,5,1
Aberdeen City,Grampian,92,55,3,2,168,0,19,7,59,2,3.53,5,1
Aberdeen City,Grampian,92,31,2,2,71,0,13,0,54,1,4.18,5,1
Aberdeen City,Grampian,86,0,2,1,81,0,13,4,59,0,4.54,5,1
Aberdeen City,Grampian,83,19,1,1,46,0,14,5,72,1,11.36,5,1
Aberdeen City,Grampian,93,12,2,2,44,0,16,5,65,4,5.16,5,1
Aberdeen City,Grampian,91,59,5,4,93,0,18,4,88,1,5.47,4,1
Aberdeen City,Grampian,88,12,1,1,107,0,14,2,77,1,4.62,5,1
Aberdeen City,Grampian,87,47,2,2,66,0,12,3,81,2,7.34,5,1
Aberdeen City,Grampian,80,48,2,2,91,0,13,4,83,5,10.24,5,1
Aberdeen City,Grampian,80,61,2,3,66,89,15,8,69,3,4.44,5,1
Aberdeen City,Grampian,89,34,4,4,67,228,14,4,71,0,8.85,5,1
Aberdeen City,Grampian,90,22,2,2,42,0,12,3,53,0,2,5,1
Aberdeen City,Grampian,91,57,5,5,65,86,17,6,77,1,6.47,4,1
Aberdeen City,Grampian,88,68,2,4,39,58,11,8,68,0,4.89,5,1
Aberdeen City,Grampian,89,93,3,2,88,0,9,0,71,0,6.02,5,1
Aberdeen City,Grampian,84,71,2,2,61,0,13,4,66,2,7.15,5,1
Aberdeen City,Grampian,86,11,3,1,120,35,16,4,88,1,3.42,5,1
Aberdeen City,Grampian,89,69,2,2,59,0,12,0,53,0,3.38,5,1
Aberdeen City,Grampian,79,28,7,6,77,74,17,0,70,2,13.92,4,1
Aberdeen City,Grampian,85,46,10,6,107,202,20,0,102,0,14.11,3,1
Aberdeen City,Grampian,91,26,2,2,58,0,12,8,86,0,2.77,5,1
Aberdeen City,Grampian,92,63,4,5,115,0,18,4,94,3,7.89,4,1
Aberdeen City,Grampian,84,191,12,10,115,51,20,0,116,3,17.07,2,1
Aberdeen City,Grampian,85,24,4,4,91,0,14,4,77,2,9.55,5,1
Aberdeen City,Grampian,91,56,2,3,65,50,15,0,71,1,6.51,5,1
Aberdeen City,Grampian,90,6,4,2,86,0,14,7,72,2,11.69,5,1
Aberdeen City,Grampian,89,109,5,7,77,54,17,3,79,1,10.71,4,1
Aberdeen City,Grampian,92,85,3,3,83,0,12,0,64,4,2.34,5,1
Aberdeen City,Grampian,91,24,1,1,41,0,11,0,60,0,5.07,5,1
Aberdeen City,Grampian,90,17,2,2,86,0,12,6,72,0,7.69,5,1
Aberdeen City,Grampian,81,27,3,3,64,0,17,4,83,1,4.77,5,1
Aberdeen City,Grampian,89,17,5,7,115,0,17,7,110,2,6.03,4,1
Aberdeenshire,Grampian,83,63,4,5,89,0,12,0,67,3,6.54,5,0
Aberdeenshire,Grampian,84,69,6,5,74,0,13,8,59,3,10.69,4,0
Aberdeenshire,Grampian,75,8,6,6,83,0,12,0,55,5,3.78,3,0
Aberdeenshire,Grampian,80,17,4,3,63,0,10,7,48,4,6.64,4,0
Aberdeenshire,Grampian,95,8,3,2,80,0,11,8,42,2,3.75,5,0
Aberdeenshire,Grampian,83,24,9,10,81,0,25,13,76,3,6.25,3,0
Aberdeenshire,Grampian,90,31,6,4,99,0,15,6,63,2,3.96,5,0
Aberdeenshire,Grampian,86,23,3,3,56,0,14,0,61,0,0.52,5,0
Aberdeenshire,Grampian,93,14,3,2,69,0,14,11,63,2,7.67,4,0
Aberdeenshire,Grampian,89,29,3,3,55,169,11,0,65,6,5.12,4,0
Aberdeenshire,Grampian,83,33,6,4,86,37,22,15,69,1,5.14,4,0
Aberdeenshire,Grampian,89,11,2,2,95,0,10,0,48,1,2.7,5,0
Aberdeenshire,Grampian,94,15,3,2,159,0,17,0,57,2,2.17,5,0
Aberdeenshire,Grampian,88,6,8,4,88,41,13,3,69,5,5.63,4,0
Aberdeenshire,Grampian,90,14,8,6,103,46,17,0,67,1,8.44,4,0
Aberdeenshire,Grampian,86,26,4,4,55,0,10,9,64,0,7.35,5,0
Aberdeenshire,Grampian,84,21,6,4,60,0,13,8,58,2,12.92,4,0
Aberdeenshire,Grampian,92,22,4,4,90,0,12,7,64,4,3.01,4,0
Aberdeenshire,Grampian,81,0,6,5,87,0,15,4,55,2,4.03,3,0
Aberdeenshire,Grampian,90,0,4,2,77,50,11,5,65,4,2.88,4,0
Aberdeenshire,Grampian,89,59,9,7,96,0,14,7,68,2,6.77,3,0
Aberdeenshire,Grampian,85,47,9,5,99,0,13,0,73,2,5.7,3,0
Aberdeenshire,Grampian,91,48,4,2,50,0,10,3,69,3,3.12,4,0
Aberdeenshire,Grampian,90,6,5,4,59,0,9,3,69,3,4.35,4,0
Aberdeenshire,Grampian,88,49,9,4,77,0,12,5,65,7,6.34,4,0
Aberdeenshire,Grampian,92,35,2,2,41,0,10,0,43,1,1.28,5,0
Aberdeenshire,Grampian,86,49,9,7,89,0,15,4,92,2,10.05,3,0
Aberdeenshire,Grampian,89,136,5,5,99,0,16,4,75,1,2.56,4,0
Aberdeenshire,Grampian,92,28,5,3,127,37,13,0,67,4,5.08,4,0
Aberdeenshire,Grampian,92,24,3,2,70,0,11,3,68,2,5.42,4,0
Aberdeenshire,Grampian,96,5,2,1,70,0,9,0,59,3,3.59,4,0
Aberdeenshire,Grampian,92,20,1,1,71,0,11,19,54,1,3.38,5,0
Aberdeenshire,Grampian,91,17,1,1,57,0,9,0,60,2,3.95,4,0
Aberdeenshire,Grampian,94,45,2,1,81,41,12,0,64,4,3.16,4,0
Aberdeenshire,Grampian,94,74,3,3,128,0,15,9,65,3,7.69,5,1
Aberdeenshire,Grampian,84,112,13,12,80,32,18,3,82,0,4.8,3,1
Aberdeenshire,Grampian,88,53,4,3,74,40,14,3,69,0,5.82,5,1
Aberdeenshire,Grampian,91,53,4,5,107,0,17,6,60,0,2.71,5,1
Aberdeenshire,Grampian,88,72,8,8,110,98,16,5,70,1,10.75,4,1
Aberdeenshire,Grampian,88,95,5,7,88,0,17,5,68,2,9.85,4,1
Aberdeenshire,Grampian,94,0,1,1,17,0,8,6,51,0,0,5,1
Aberdeenshire,Grampian,91,61,4,5,101,0,16,0,82,1,4.94,4,1
Aberdeenshire,Grampian,93,48,2,2,66,0,13,40,65,1,0.93,5,1
Aberdeenshire,Grampian,93,47,5,3,82,0,13,3,61,0,7.38,5,1
Aberdeenshire,Grampian,96,21,2,0,81,80,14,13,56,1,2.51,5,1
