Rank,AllPos,AllNeg,TopPos,TopNeg,Movie,Release,Revenues,year
359,22,63,8,14,Nutty Professor II: The Klumps (Universal),28-Jul-00,"$123,309,442 ",2000
360,184,26,30,5,Rango (Paramount),04-Mar-11,"$123,257,581 ",2011
361,31,7,7,2,Clear and Present Danger (Paramount),03-Aug-94,"$122,187,590 ",1994
362,42,2,4,1,The Hunt for Red October (Paramount),02-Mar-90,"$122,012,815 ",1990
363,11,23,1,5,The Bodyguard (Warner Bros.),25-Nov-92,"$121,945,613 ",1992
364,39,7,5,2,Wayne's World (Paramount),14-Feb-92,"$121,697,730 ",1992
365,153,31,30,8,The Bourne Identity (Universal),14-Jun-02,"$121,661,607 ",2002
366,181,25,37,6,Superbad (Sony / Columbia),17-Aug-07,"$121,463,956 ",2007
367,38,4,7,2,Speed (Fox),10-Jun-94,"$121,250,167 ",1994
368,76,96,18,21,50 First Dates (Sony / Columbia),13-Feb-04,"$120,908,340 ",2004
369,62,10,10,4,Mulan (Disney),19-Jun-98,"$120,620,823 ",1998
370,235,31,33,11,Inglourious Basterds (Weinstein Company),21-Aug-09,"$120,540,835 ",2009
371,154,45,36,9,Seabiscuit (Universal),25-Jul-03,"$120,277,109 ",2003
372,47,161,7,32,Van Helsing (Universal),07-May-04,"$120,150,620 ",2004
373,36,107,5,23,Four Christmases (Warner Bros. / New Line),26-Nov-08,"$120,146,737 ",2008
374,22,134,5,31,I Now Pronounce You Chuck and Larry (Universal),20-Jul-07,"$120,059,537 ",2007
375,33,11,5,4,The Mask (New Line),29-Jul-94,"$119,938,168 ",1994
376,11,27,3,4,Hook (TriStar),11-Dec-91,"$119,654,006 ",1991
377,167,36,32,10,Walk the Line (Fox),18-Nov-05,"$119,519,615 ",2005
378,41,5,4,1,Blazing Saddles (Warner Bros.),07-Feb-74,"$119,500,420 ",1974
379,25,95,3,20,G-Force (Disney),24-Jul-09,"$119,420,515 ",2009
380,43,8,7,2,Total Recall (1990) (TriStar),01-Jun-90,"$119,394,451 ",1990
381,21,2,4,1,On Golden Pond (Universal),04-Dec-81,"$119,285,747 ",1981
382,151,42,26,7,The Other Guys (Sony / Columbia),06-Aug-10,"$119,219,978 ",2010
383,189,38,38,8,Fahrenheit 9/11 (Lionsgate),23-Jun-04,"$119,194,688 ",2004
